,Biomethane,Biomethane + CCS Syngas,Biomethane + CCS Syngas + CCS Heating,Biomethane + CCS Upgrading,Biomethane + CCS Upgrading + CCS Syngas,Biomethane + CCS Upgrading + CCS Syngas + CCS Heating
Europe,,,,,64.88837573069353,43.983117185982096
Germany,,,,,68.24584745226866,48.18945396931866
France,,,75.08415305113164,,54.988193383164564,34.1631354290446
Italy,,,,,76.51573123245005,55.881056094067105
Spain,,,93.83602036966077,,62.54127328839464,43.52392274241946
Poland,,,,,,86.48810738342077
United Kingdom,,,82.8070722874126,,56.3292961888745,32.80679159757165
Romania,,,,,65.15366431572699,42.71135605958916
Netherlands,,,94.49424464521803,,59.8304585510232,37.47125481084397
Hungary,,,,,72.16316336063237,54.8495258710268
Denmark,,,88.59107846509397,,56.397536379671905,29.125092448703818
Sweden,,80.2556808507573,34.37488705009551,94.15379154327998,39.614653126912316,16.163223514340174
Ireland,,,,,64.00631748847488,35.38475568595731
Czechia,,,,,85.04636342143917,68.00621574657143
Bulgaria,,,,,76.94542790996934,55.38414626788583
Belgium,,,72.55671165881445,,53.724101748202976,32.222805674124494
Portugal,,,84.38352562356604,,58.698463390366165,39.463088587674406
Greece,,,,,88.97715667895193,69.5704468147144
Finland,,92.29904912088064,66.16489503558586,98.92054141521609,52.52546864952898,38.57854047058151
Austria,,,84.89677235783591,,59.73596894937181,42.005957395191935
Switzerland,,96.24693502082258,58.22766875241224,,48.23877435525645,29.421824062176803
Lithuania,,,,,68.60561196112934,48.30746671564481
Norway,,,41.05253574777585,,43.862071316118666,14.409779704917323
Slovakia,,,,,70.66554497660441,53.748804954920665
Croatia,,,,,72.14077265015523,50.24053042289688
Latvia,,,87.12190583331851,,60.59178551835828,43.73827568109487
Estonia,,,,,77.88591560588968,58.209010303832315
Slovenia,,,,,66.451972971073,45.177933184759496
