,Fertilizer low,Fertilizer high,Fuel
Natural gas,4.444599399826464,8.314179399826465,4.092819399826464
Natural gas + CCS Syngas,3.124065362104936,6.993645362104937,2.772285362104937
Natural gas + CCS Syngas + CCS Heating,2.682882554057123,6.552462554057124,2.3311025540571233
Green H2,2.039669419383786,5.909249419383787,1.6878894193837866
Biomethane,3.5664379949004785,7.43601799490048,3.214657994900479
Biomethane + CCS Syngas,2.2459039571759276,6.115483957175929,1.8941239571759283
Biomethane + CCS Syngas + CCS Heating,1.807822101454569,5.67740210145457,1.4560421014545692
Biomethane + CCS Upgrading,2.3407320326304504,6.210312032630451,1.9889520326304508
Biomethane + CCS Upgrading + CCS Syngas,1.020197994903779,4.88977799490378,0.6684179949037795
Biomethane + CCS Upgrading + CCS Syngas + CCS Heating,0.5821161391846301,4.451696139184631,0.23033613918463058
